ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020624985;"Etude de paysage";"THIER Bernhard Heinrich";;"439 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 34, dessiné au recto";
cl020624986;"Etude de paysage";"THIER Bernhard Heinrich";;"439 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 34, dessiné au verso";
cl020624987;"Etude de paysage";"THIER Bernhard Heinrich";;"440 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 35, dessiné au recto";
cl020624988;"Etude de paysage";"THIER Bernhard Heinrich";;"440 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 35, dessiné au verso";
cl020624989;"Etude de paysage";"THIER Bernhard Heinrich";;"441 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 36, dessiné au recto";
cl020624990;"Etude de paysage";"THIER Bernhard Heinrich";;"441 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 36, dessiné au verso";
cl020624991;"Etude de paysage";"THIER Bernhard Heinrich";;"442 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 37, dessiné au recto";
cl020624992;"Etude de paysage";"THIER Bernhard Heinrich";;"442 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 37, dessiné au verso";
cl020624993;"Etude de paysage";"THIER Bernhard Heinrich";;"443 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 38, dessiné au recto";
cl020624994;"Etude de paysage";"THIER Bernhard Heinrich";;"443 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 38, dessiné au verso";
cl020624995;"Etude de paysage";"THIER Bernhard Heinrich";;"444 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 39, dessiné au recto";
cl020624996;"Etude de paysage";"THIER Bernhard Heinrich";;"444 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 39, dessiné au verso";
cl020624997;"Etude de paysage";"THIER Bernhard Heinrich";;"445 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 40, dessiné au recto";
cl020624998;"Etude de paysage";"THIER Bernhard Heinrich";;"445 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 40, dessiné au verso";
cl020624999;"Etude de paysage";"THIER Bernhard Heinrich";;"446 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 41, dessiné au recto";
cl020625000;"Etude de paysage";"THIER Bernhard Heinrich";;"446 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 41, dessiné au verso";
cl020625001;"Etude d'arbres";"THIER Bernhard Heinrich";;"447 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 42, dessiné au recto";
